Galactic Longitude,Altitude,Azimuth,Radial Velocity (km/s),Power
0.0,10.37109375,207.8173828125,925.58624,0.8738711
0.0,10.37109375,207.8173828125,921.4639,0.6034839
0.0,10.37109375,207.8173828125,917.34155,0.6248257
0.0,10.37109375,207.8173828125,913.2193,0.6075947
0.0,10.37109375,207.8173828125,904.97473,0.6127684
0.0,10.37109375,207.8173828125,898.79126,0.6149645
0.0,10.37109375,207.8173828125,892.6078,0.56877923
0.0,10.37109375,207.8173828125,886.4243,0.6374583
0.0,10.37109375,207.8173828125,882.30206,0.62412095
0.0,10.37109375,207.8173828125,876.1186,0.618624
0.0,10.37109375,207.8173828125,869.9351,0.5990665
0.0,10.37109375,207.8173828125,861.69055,0.59766436
0.0,10.37109375,207.8173828125,853.44586,0.825433
0.0,10.37109375,207.8173828125,849.3236,0.6200137
0.0,10.37109375,207.8173828125,845.20123,0.605649
0.0,10.37109375,207.8173828125,839.01776,0.62482214
0.0,10.37109375,207.8173828125,824.5897,0.62541175
0.0,10.37109375,207.8173828125,820.46747,0.5825231
0.0,10.37109375,207.8173828125,814.284,0.83709145
0.0,10.37109375,207.8173828125,810.1616,0.6350949
0.0,10.37109375,207.8173828125,806.03937,0.6456928
0.0,10.37109375,207.8173828125,797.7948,0.6122122
0.0,10.37109375,207.8173828125,793.6725,0.63325334
0.0,10.37109375,207.8173828125,789.5502,0.64226866
0.0,10.37109375,207.8173828125,779.2444,0.63882875
0.0,10.37109375,207.8173828125,770.9998,0.65973663
0.0,10.37109375,207.8173828125,766.87744,0.66926455
0.0,10.37109375,207.8173828125,760.6941,0.64129853
0.0,10.37109375,207.8173828125,756.5717,0.62898827
0.0,10.37109375,207.8173828125,752.4494,0.6465583
0.0,10.37109375,207.8173828125,746.266,0.66894484
0.0,10.37109375,207.8173828125,738.02136,0.69254446
0.0,10.37109375,207.8173828125,731.8379,0.655277
0.0,10.37109375,207.8173828125,727.7156,0.6419561
0.0,10.37109375,207.8173828125,719.471,0.6395123
0.0,10.37109375,207.8173828125,713.28754,0.6496239
0.0,10.37109375,207.8173828125,709.1652,0.6575041
0.0,10.37109375,207.8173828125,705.0429,0.6298895
0.0,10.37109375,207.8173828125,698.85944,0.65571284
0.0,10.37109375,207.8173828125,694.7372,0.61593795
0.0,10.37109375,207.8173828125,686.49255,0.6025872
0.0,10.37109375,207.8173828125,680.3091,0.6226046
0.0,10.37109375,207.8173828125,672.0645,0.6181786
0.0,10.37109375,207.8173828125,665.88104,0.6115167
0.0,10.37109375,207.8173828125,657.6364,0.5932567
0.0,10.37109375,207.8173828125,653.5141,0.6046839
0.0,10.37109375,207.8173828125,639.08606,0.59214115
0.0,10.37109375,207.8173828125,626.7191,0.58906436
0.0,10.37109375,207.8173828125,618.47455,0.5556464
0.0,10.37109375,207.8173828125,604.04645,0.55746365
0.0,10.37109375,207.8173828125,597.863,0.5532968
0.0,10.37109375,207.8173828125,593.7407,0.5529778
0.0,10.37109375,207.8173828125,589.6184,0.5497439
0.0,10.37109375,207.8173828125,585.4961,0.52195406
0.0,10.37109375,207.8173828125,577.25146,0.5019493
0.0,10.37109375,207.8173828125,573.12915,0.502105
0.0,10.37109375,207.8173828125,566.9457,0.491431
0.0,10.37109375,207.8173828125,562.8234,0.5145793
0.0,10.37109375,207.8173828125,558.7011,0.48989034
0.0,10.37109375,207.8173828125,554.5788,0.48561168
0.0,10.37109375,207.8173828125,546.3342,0.49273682
0.0,10.37109375,207.8173828125,542.21185,0.4859569
0.0,10.37109375,207.8173828125,536.02844,0.47734094
0.0,10.37109375,207.8173828125,529.845,0.45483017
0.0,10.37109375,207.8173828125,523.6615,0.4433694
0.0,10.37109375,207.8173828125,517.4781,0.46743035
0.0,10.37109375,207.8173828125,513.3557,0.47125983
0.0,10.37109375,207.8173828125,507.1723,0.48630404
0.0,10.37109375,207.8173828125,500.98883,0.432487
0.0,10.37109375,207.8173828125,496.86655,0.43890095
0.0,10.37109375,207.8173828125,492.74423,0.42893672
0.0,10.37109375,207.8173828125,478.3162,0.43767047
0.0,10.37109375,207.8173828125,474.19388,0.43749738
0.0,10.37109375,207.8173828125,470.07153,0.42921352
0.0,10.37109375,207.8173828125,461.82693,0.41471338
0.0,10.37109375,207.8173828125,455.64346,0.3928256
0.0,10.37109375,207.8173828125,447.39886,0.44264078
0.0,10.37109375,207.8173828125,441.2154,0.4214182
0.0,10.37109375,207.8173828125,432.97083,0.38238883
0.0,10.37109375,207.8173828125,426.78735,0.37653875
0.0,10.37109375,207.8173828125,422.66504,0.40163493
0.0,10.37109375,207.8173828125,418.54276,0.37070036
0.0,10.37109375,207.8173828125,414.42044,0.38723564
0.0,10.37109375,207.8173828125,410.29816,0.37669444
0.0,10.37109375,207.8173828125,406.17584,0.37606788
0.0,10.37109375,207.8173828125,399.99237,0.4148333
0.0,10.37109375,207.8173828125,395.8701,0.3976183
0.0,10.37109375,207.8173828125,389.6866,0.402395
0.0,10.37109375,207.8173828125,385.5643,0.3565607
0.0,10.37109375,207.8173828125,381.44202,0.3935883
0.0,10.37109375,207.8173828125,371.13626,0.36312723
0.0,10.37109375,207.8173828125,364.9528,0.37077165
0.0,10.37109375,207.8173828125,360.83047,0.33630157
0.0,10.37109375,207.8173828125,356.7082,0.35139704
0.0,10.37109375,207.8173828125,352.58588,0.33924007
0.0,10.37109375,207.8173828125,342.28012,0.3745227
0.0,10.37109375,207.8173828125,338.1578,0.34925604
0.0,10.37109375,207.8173828125,334.0355,0.36275887
0.0,10.37109375,207.8173828125,325.7909,0.35081077
0.0,10.37109375,207.8173828125,321.66858,0.35881972
0.0,10.37109375,207.8173828125,315.48514,0.35194063
0.0,10.37109375,207.8173828125,305.17938,0.3383739
0.0,10.37109375,207.8173828125,296.93475,0.34735966
0.0,10.37109375,207.8173828125,290.7513,0.36263824
0.0,10.37109375,207.8173828125,280.44553,0.34127712
0.0,10.37109375,207.8173828125,274.2621,0.34265757
0.0,10.37109375,207.8173828125,270.1398,0.34807467
0.0,10.37109375,207.8173828125,263.95633,0.34426498
0.0,10.37109375,207.8173828125,257.77286,0.36369133
0.0,10.37109375,207.8173828125,247.4671,0.36974335
0.0,10.37109375,207.8173828125,239.22249,0.36773992
0.0,10.37109375,207.8173828125,233.03903,0.34202456
0.0,10.37109375,207.8173828125,228.91675,0.34982944
0.0,10.37109375,207.8173828125,224.79442,0.34958458
0.0,10.37109375,207.8173828125,218.61098,0.37448287
0.0,10.37109375,207.8173828125,212.4275,0.3369863
