radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
198.51713,0.379,-3.142316,0.261,16.669,0.122,2,18.225,0.018,2,NA,NA,0,17.432,0.058,4,16.256,0.028,4,15.859,0.239,3,NA,NA,0,NA,NA,0
198.522454,0.468,-3.055613,0.366,16.784,0.042,3,17.567,0.068,3,NA,NA,0,17.253,0.129,4,16.714,0.047,4,16.022,0.161,1,NA,NA,0,NA,NA,0
198.529897,0.419,-2.996769,0.238,15.807,0.091,4,16.865,0.207,4,NA,NA,0,16.324,0.094,4,15.483,0.037,4,15.154,0.009,4,NA,NA,0,NA,NA,0
198.533343,0.806,-2.964444,0.476,16.838,0.026,3,17.93,0.245,3,NA,NA,0,17.48,0.14,4,16.54,0.094,4,16.04,0.147,4,NA,NA,0,NA,NA,0
198.537612,0.123,-3.075197,0.122,12.206,0.017,4,12.738,0.023,4,NA,NA,0,12.431,0.02,4,12.066,0.036,4,12.034,0.046,4,11.973,0.072,1,NA,NA,0
198.540662,0.66,-3.166717,0.373,16.293,0.033,4,17.067,0.134,4,NA,NA,0,16.567,0.131,4,16.005,0.049,4,16.027,0.173,4,NA,NA,0,NA,NA,0
198.54565,0.388,-2.944081,0.169,NA,NA,0,NA,NA,0,NA,NA,0,17.542,0.079,2,16.822,0.12,2,NA,NA,0,NA,NA,0,NA,NA,0
198.547953,0.228,-2.947624,0.118,14.633,0.013,4,15.367,0.021,4,NA,NA,0,14.966,0.027,4,14.422,0.063,4,14.246,0.035,4,NA,NA,0,NA,NA,0
198.548159,0.627,-2.991239,0.305,17.176,0.225,4,17.799,0.243,4,NA,NA,0,17.321,0.076,4,16.789,0.219,4,16.46,0.242,1,NA,NA,0,NA,NA,0
198.549155,0.328,-2.901688,0.059,NA,NA,0,NA,NA,0,NA,NA,0,18.406,0.238,1,17.687,0.268,1,NA,NA,0,NA,NA,0,NA,NA,0
198.55425,0.382,-2.953453,0.448,16.856,0.038,4,17.351,0.127,4,NA,NA,0,17.143,0.081,4,16.606,0.049,4,16.643,0.295,1,NA,NA,0,NA,NA,0
198.556074,0.428,-2.851422,0.352,12.884,0.006,5,13.616,0.022,5,NA,NA,0,13.215,0.016,5,12.688,0.042,5,12.629,0.056,4,12.727,0.043,2,NA,NA,0
198.559449,0.316,-3.170113,0.542,NA,NA,0,NA,NA,0,NA,NA,0,17.732,0.054,3,16.754,0.177,3,16.222,0.181,2,NA,NA,0,NA,NA,0
198.562571,0.724,-3.019155,0.36,17.487,0.21,1,17.994,0.245,1,NA,NA,0,17.67,0.045,3,17.008,0.258,3,NA,NA,0,NA,NA,0,NA,NA,0
198.564223,0.255,-3.013518,0.253,NA,NA,0,NA,NA,0,NA,NA,0,17.461,0.195,2,16.988,0.128,2,16.262,0.203,1,NA,NA,0,NA,NA,0
198.566632,0.572,-3.179323,0.385,NA,NA,0,NA,NA,0,NA,NA,0,17.882,0.181,2,17.336,0.166,2,NA,NA,0,NA,NA,0,NA,NA,0
198.570886,0.443,-2.797464,0.407,14.06,0.016,6,14.698,0.018,6,NA,NA,0,14.333,0.018,6,13.926,0.029,6,13.841,0.058,6,13.471,0.154,2,NA,NA,0
198.572461,0.45,-2.810336,0.424,14.48,0.029,6,14.978,0.045,6,NA,NA,0,14.687,0.019,6,14.374,0.031,6,14.347,0.042,6,NA,NA,0,NA,NA,0
198.573133,0.031,-3.231317,0,NA,NA,0,NA,NA,0,NA,NA,0,18.01,0.146,1,17.128,0.157,1,NA,NA,0,NA,NA,0,NA,NA,0
198.5745,0.479,-3.096625,0.462,16.347,0.112,6,17.31,0.128,6,NA,NA,0,16.835,0.077,6,15.882,0.126,6,15.555,0.102,6,NA,NA,0,NA,NA,0
198.575206,0.48,-2.868047,0.314,16.373,0.096,6,17.022,0.133,6,NA,NA,0,16.712,0.034,6,16.178,0.098,6,NA,NA,0,NA,NA,0,NA,NA,0
198.581042,0.41,-3.021741,0.316,17.243,0.167,1,17.777,0.205,1,NA,NA,0,17.691,0.028,2,17.2,0.169,2,NA,NA,0,NA,NA,0,NA,NA,0
198.583445,0.685,-3.290304,0.418,16.667,0.177,6,17.245,0.192,6,NA,NA,0,16.882,0.127,6,16.584,0.125,6,16.421,0.042,2,NA,NA,0,NA,NA,0
198.586287,0.145,-3.333257,0.086,12.696,0.012,6,13.226,0.026,6,NA,NA,0,12.917,0.016,6,12.585,0.042,6,12.558,0.046,6,12.31,0.101,1,NA,NA,0
198.587446,0.603,-3.075499,0.621,17.26,0.059,2,17.807,0.026,2,NA,NA,0,17.739,0.067,2,17.424,0.125,2,NA,NA,0,NA,NA,0,NA,NA,0
198.589214,0.359,-2.999888,0.324,17.912,0.307,1,18.234,0.297,1,NA,NA,0,18.227,0.188,1,17.426,0.223,1,NA,NA,0,NA,NA,0,NA,NA,0
198.591676,0.675,-2.797967,0.046,NA,NA,0,NA,NA,0,NA,NA,0,18.081,0.184,1,17.3,0.205,1,NA,NA,0,NA,NA,0,NA,NA,0
198.595819,0.599,-3.387905,0.303,16.565,0.108,6,17.374,0.23,6,NA,NA,0,16.953,0.082,6,16.377,0.053,6,16.161,0.235,5,NA,NA,0,NA,NA,0
198.597148,0.057,-3.130527,0.247,NA,NA,0,NA,NA,0,NA,NA,0,18.022,0.154,1,17.452,0.221,1,NA,NA,0,NA,NA,0,NA,NA,0
198.599895,0.526,-3.074418,0.355,NA,NA,0,NA,NA,0,NA,NA,0,17.633,0.027,3,16.831,0.146,3,NA,NA,0,NA,NA,0,NA,NA,0
198.601046,0.454,-3.28365,0.064,NA,NA,0,NA,NA,0,NA,NA,0,18.168,0.167,1,17.229,0.17,1,NA,NA,0,NA,NA,0,NA,NA,0
198.601976,0.257,-3.005998,0.199,15.643,0.08,6,16.54,0.075,6,NA,NA,0,16.137,0.057,6,15.29,0.066,6,14.961,0.066,6,NA,NA,0,NA,NA,0
198.603291,0.273,-2.713049,0.143,15.304,0.026,5,15.983,0.042,5,NA,NA,0,15.59,0.026,5,15.166,0.052,5,15.004,0.064,5,NA,NA,0,NA,NA,0
198.604906,0.862,-3.21594,0.423,17.062,0.119,2,18.151,0.152,2,NA,NA,0,17.415,0.138,6,16.465,0.071,6,16.22,0.149,4,NA,NA,0,NA,NA,0
198.605133,0.196,-2.747964,0.125,12.132,0.022,6,13.012,0.022,6,NA,NA,0,12.526,0.02,6,11.891,0.038,6,11.71,0.033,6,11.529,0.038,4,NA,NA,0
198.605321,0.374,-3.304984,0.312,17.258,0.155,1,17.681,0.169,1,NA,NA,0,17.478,0.111,3,16.833,0.204,3,NA,NA,0,NA,NA,0,NA,NA,0
198.612034,0.367,-3.351874,0.253,16.207,0.111,6,16.87,0.107,6,NA,NA,0,16.44,0.06,6,16.03,0.063,6,15.902,0.143,4,NA,NA,0,NA,NA,0
198.612883,0.512,-3.23713,0.376,16.262,0.058,6,17.063,0.103,6,NA,NA,0,16.524,0.058,6,15.979,0.064,6,15.963,0.199,6,NA,NA,0,NA,NA,0
